team,group,confederation,elo_prior,fifa_rank_approx,source,notes
Argentina,J,CONMEBOL,2095,1,analyst_prior_2026,Reigning world & Copa champions; Messi-led attack
Spain,H,UEFA,2090,2,analyst_prior_2026,Euro 2024 winners; deep talented squad
France,I,UEFA,2080,3,analyst_prior_2026,Mbappe-led; perennial contenders
Brazil,C,CONMEBOL,2025,4,analyst_prior_2026,Vinicius/Rodrygo attack; rebuilt squad
England,L,UEFA,2015,5,analyst_prior_2026,Kane-led; strong but inconsistent
Portugal,K,UEFA,2000,6,analyst_prior_2026,Ronaldo + golden generation core
Netherlands,F,UEFA,1985,7,analyst_prior_2026,Balanced; strong spine
Germany,E,UEFA,1960,8,analyst_prior_2026,Resurgent under new core
Belgium,G,UEFA,1930,9,analyst_prior_2026,Aging golden generation tail
Croatia,L,UEFA,1915,10,analyst_prior_2026,Modric-era veterans; tournament savvy
Uruguay,H,CONMEBOL,1900,11,analyst_prior_2026,Bielsa-coached; talented young core
Colombia,K,CONMEBOL,1895,12,analyst_prior_2026,Strong recent form; J.Rodriguez creativity
Morocco,C,CAF,1875,13,analyst_prior_2026,2022 semifinalists; elite defense
Norway,I,UEFA,1855,14,analyst_prior_2026,Haaland + Odegaard; first WC in decades
Senegal,I,CAF,1850,15,analyst_prior_2026,Athletic; AFCON-class squad
Switzerland,B,UEFA,1845,16,analyst_prior_2026,Reliable tournament performer
Japan,F,AFC,1840,17,analyst_prior_2026,Best-ever Asian side; quick transitions
USA,D,CONCACAF,1835,18,analyst_prior_2026,Co-host; young core; home advantage
Mexico,A,CONCACAF,1815,19,analyst_prior_2026,Co-host; opening match; home advantage
Ecuador,E,CONMEBOL,1810,20,analyst_prior_2026,Solid defense; young squad
Turkiye,D,UEFA,1805,21,analyst_prior_2026,Talented attacking midfield
Austria,J,UEFA,1805,22,analyst_prior_2026,Well-drilled; pressing side
Sweden,F,UEFA,1790,24,analyst_prior_2026,Isak/Gyokeres strike pairing
Korea Republic,A,AFC,1790,25,analyst_prior_2026,Son-led; experienced
Iran,G,AFC,1780,26,analyst_prior_2026,Organized; physical
Cote d'Ivoire,E,CAF,1770,27,analyst_prior_2026,AFCON 2024 winners
Czechia,A,UEFA,1770,28,analyst_prior_2026,Disciplined; Schick threat
Scotland,C,UEFA,1760,29,analyst_prior_2026,First WC since 1998
Canada,B,CONCACAF,1780,30,analyst_prior_2026,Co-host; pacey attack; home advantage
Egypt,G,CAF,1760,31,analyst_prior_2026,Salah-dependent
Bosnia and Herzegovina,B,UEFA,1760,32,analyst_prior_2026,Dzeko-era veterans
Ghana,L,CAF,1745,33,analyst_prior_2026,Young attacking talent
Australia,D,AFC,1760,34,analyst_prior_2026,Resilient; well-organized
Algeria,J,CAF,1770,35,analyst_prior_2026,Mahrez-led; technical
Panama,L,CONCACAF,1700,36,analyst_prior_2026,Improving CONCACAF side
Paraguay,D,CONMEBOL,1730,37,analyst_prior_2026,Defensive; counterattacking
Tunisia,F,CAF,1700,38,analyst_prior_2026,Organized; limited attack
DR Congo,K,CAF,1730,39,analyst_prior_2026,Athletic; AFCON semifinalists
Saudi Arabia,H,AFC,1680,40,analyst_prior_2026,Beat Argentina in 2022
Qatar,B,AFC,1680,41,analyst_prior_2026,Asian Cup holders
South Africa,A,CAF,1730,42,analyst_prior_2026,Young; AFCON 2024 bronze
Uzbekistan,K,AFC,1680,43,analyst_prior_2026,First-ever WC; rising
Cape Verde,H,CAF,1660,44,analyst_prior_2026,First-ever WC; debutants
New Zealand,G,OFC,1640,45,analyst_prior_2026,OFC champions
Curacao,E,CONCACAF,1640,46,analyst_prior_2026,First-ever WC; smallest nation
Iraq,I,AFC,1650,47,analyst_prior_2026,First WC since 1986
Jordan,J,AFC,1620,48,analyst_prior_2026,First-ever WC; Asian Cup finalists
Haiti,C,CONCACAF,1620,49,analyst_prior_2026,First WC since 1974
